"application_date","snapshot_date","country","base_ccy","referrer","entity","server","house_name","org","application_type","kyc_status","screening_status","batch_result","received_docs","num_inbound_emails","num_inbound_calls","num_outbound_emails","num_outbound_calls","is_converted"
"2020-09-02","2020-09-02","Zambia","USD","referrer2","Entity4","E2","cat1","1","Individual",,"Batch - Processed","PASS",,,,,,False
"2020-09-02","2020-09-02","United Kingdom","GBP","unknown","Entity3","P","cat5","1","Individual","Complete","Batch - Processed","PASS",,,,,,False
"2020-08-30","2020-08-30","Mexico","USD","referrer3","Entity2","E3","cat4","1","Individual",,"Batch - Reviewed","match",True,,,,,False
"2020-08-30","2020-08-30","South Africa","USD","referrer2","Entity4","E2","cat1","1","Individual",,"Batch - Reviewed","match",,,,,,False
"2020-09-02","2020-09-02","China","USD","unknown","Entity2","E3","cat9","1","Individual","Complete","Batch - Processed","PASS",,,,,,False
"2020-09-02","2020-09-02","Vietnam","USD","referrer7","Entity2","E3","cat2","1","Individual",,"Batch - Processed","PASS",,,,,,False
"2020-09-02","2020-09-02","South Africa","USD","referrer2","Entity4","E2","cat1","1","Individual",,"Batch - Processed","PASS",,,,,,False
"2020-09-02","2020-09-02","Tanzania","USD","referrer2","Entity4","E2","cat1","1","Individual",,"Batch - Processed","PASS",,,,,,False
"2020-09-02","2020-09-02","China","USD","unknown","Entity2","E3","cat9","1","Individual","Missing ID","Batch - Processed","PASS",,,,,,False
"2020-09-02","2020-09-02","Australia","AUD","unknown","Entity1","S","cat6","1","Individual","Missing ID","Pending Review",,,,,,,False
"2020-09-02","2020-09-02","South Africa","GBP","referrer2","Entity4","P","cat1","1","Individual",,"Batch - Reviewed","match",True,,,,,False
"2020-09-02","2020-09-02","Australia","AUD","unknown","Entity1","S","cat6","1","Individual","Complete","Batch - Processed","PASS",,,,,,True
"2020-08-19","2020-08-19","China","USD","unknown","Entity2","E8","cat12","1","Individual","Complete","Batch - Processed","PASS",,,,2,1,True
"2020-08-19","2020-08-19","China","USD","unknown","Entity2","E3","cat25","1","Individual",,"Completed","PASS",True,,,,,False
"2020-09-13","2020-09-13","Australia","AUD","unknown","Entity1","S","cat6","1","Individual","Missing ID","Batch - Processed","PASS",True,,,,,False
"2020-09-02","2020-09-02","China","USD","unknown","Entity2","E3","cat9","1","Individual","Complete","Completed","PASS",True,,,,,True
